,Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
1186,2014,Brisbane,Medically treated,50 to 59,Male,Bicyclist,17
1191,2014,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,6
1200,2014,Brisbane,Minor injury,30 to 39,Female,Passenger,8
1207,2014,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,8
1209,2015,Brisbane,Hospitalised,0 to 16,Male,Passenger,29
1214,2018,Brisbane,Fatality,60 to 74,Male,Bicyclist,1
1219,2017,Brisbane,Minor injury,25 to 29,Female,Passenger,12
1222,2017,Brisbane,Minor injury,17 to 24,Female,Motorcyclist,3
1228,2017,Brisbane,Hospitalised,60 to 74,Female,Passenger,10
1229,2017,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,20
1235,2015,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,12
1238,2018,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,7
1344,2013,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,7
1356,2015,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,6
1362,2014,Brisbane,Medically treated,25 to 29,Male,Bicyclist,7
1367,2016,Brisbane,Hospitalised,40 to 49,Male,Pedestrian,8
1373,2014,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,5
1375,2013,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,5
1379,2014,Brisbane,Medically treated,75 and over,Male,Driver,26
1381,2014,Brisbane,Medically treated,17 to 24,Female,Pedestrian,11
1387,2014,Brisbane,Minor injury,25 to 29,Male,Passenger,5
1388,2017,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,9
1389,2016,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
1390,2017,Brisbane,Medically treated,50 to 59,Unknown,Passenger,1
1392,2014,Brisbane,Hospitalised,50 to 59,Male,Other,1
1398,2016,Brisbane,Medically treated,75 and over,Female,Passenger,6
1509,2016,Brisbane,Minor injury,50 to 59,Male,Bicyclist,3
1511,2016,Brisbane,Hospitalised,25 to 29,Male,Passenger,10
1516,2014,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,10
1529,2017,Brisbane,Minor injury,60 to 74,Male,Pedestrian,1
1530,2017,Brisbane,Hospitalised,Unknown,Male,Passenger,2
1532,2017,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,7
1534,2017,Brisbane,Minor injury,40 to 49,Female,Other,1
1538,2018,Brisbane,Medically treated,50 to 59,Female,Pedestrian,5
1617,2015,Brisbane,Minor injury,50 to 59,Male,Bicyclist,4
1618,2014,Brisbane,Hospitalised,17 to 24,Unknown,Passenger,1
1625,2013,Brisbane,Medically treated,75 and over,Female,Passenger,11
1627,2018,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,21
1630,2018,Brisbane,Minor injury,30 to 39,Male,Pedestrian,4
1632,2016,Brisbane,Minor injury,60 to 74,Male,Passenger,2
1720,2013,Brisbane,Minor injury,50 to 59,Female,Passenger,10
1725,2013,Brisbane,Medically treated,75 and over,Male,Pedestrian,2
1727,2016,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,1
1735,2018,Brisbane,Medically treated,17 to 24,Male,Bicyclist,14
1791,2016,Brisbane,Minor injury,60 to 74,Female,Pedestrian,2
1793,2015,Brisbane,Medically treated,60 to 74,Male,Bicyclist,5
1798,2016,Brisbane,Medically treated,50 to 59,Female,Pedestrian,3
1804,2015,Brisbane,Minor injury,Unknown,Male,Driver,1
1807,2014,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
1813,2016,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,9
1815,2018,Brisbane,Minor injury,30 to 39,Female,Bicyclist,4
1864,2014,Brisbane,Hospitalised,60 to 74,Male,Bicyclist,8
1871,2015,Brisbane,Fatality,25 to 29,Male,Driver,2
1888,2018,Brisbane,Minor injury,25 to 29,Male,Pedestrian,2
1889,2018,Brisbane,Minor injury,50 to 59,Male,Passenger,5
1935,2013,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
1942,2015,Brisbane,Minor injury,30 to 39,Male,Passenger,8
1952,2015,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,6
1955,2017,Brisbane,Minor injury,25 to 29,Female,Bicyclist,1
1957,2018,Brisbane,Minor injury,30 to 39,Male,Other,1
1960,2016,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,7
1961,2018,Brisbane,Minor injury,25 to 29,Female,Motorcyclist,2
1962,2018,Brisbane,Hospitalised,0 to 16,Female,Driver,1
1999,2014,Brisbane,Medically treated,60 to 74,Female,Motorcyclist,2
2002,2013,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,5
2009,2018,Brisbane,Minor injury,30 to 39,Female,Pedestrian,1
2012,2018,Brisbane,Hospitalised,17 to 24,Unknown,Driver,1
2014,2017,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,9
2052,2016,Brisbane,Hospitalised,60 to 74,Male,Other,1
2062,2017,Brisbane,Minor injury,0 to 16,Male,Pedestrian,2
2063,2017,Brisbane,Minor injury,60 to 74,Male,Bicyclist,2
2067,2017,Brisbane,Minor injury,50 to 59,Male,Pedestrian,1
2096,2016,Brisbane,Medically treated,0 to 16,Female,Bicyclist,1
2100,2015,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,3
2109,2017,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,3
2113,2018,Brisbane,Minor injury,40 to 49,Male,Passenger,9
2145,2016,Brisbane,Medically treated,50 to 59,Female,Bicyclist,1
2150,2017,Brisbane,Fatality,30 to 39,Male,Pedestrian,1
2188,2014,Brisbane,Hospitalised,Unknown,Male,Pedestrian,2
2194,2016,Brisbane,Medically treated,75 and over,Male,Motorcyclist,1
2236,2015,Brisbane,Minor injury,50 to 59,Female,Motorcyclist,1
2242,2018,Brisbane,Medically treated,Unknown,Male,Bicyclist,1
2275,2016,Brisbane,Minor injury,0 to 16,Male,Pedestrian,1
2285,2014,Brisbane,Hospitalised,0 to 16,Unknown,Pedestrian,1
2287,2017,Brisbane,Fatality,40 to 49,Female,Passenger,1
2313,2016,Brisbane,Minor injury,Unknown,Unknown,Passenger,2
2318,2015,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,5
2344,2013,Brisbane,Hospitalised,75 and over,Male,Bicyclist,1
2347,2016,Brisbane,Medically treated,40 to 49,Female,Other,1
2381,2014,Brisbane,Medically treated,0 to 16,Female,Driver,1
2382,2014,Brisbane,Minor injury,75 and over,Female,Passenger,3
2405,2015,Brisbane,Minor injury,40 to 49,Female,Bicyclist,2
2436,2018,Brisbane,Medically treated,75 and over,Male,Bicyclist,1
2480,2014,Brisbane,Minor injury,17 to 24,Female,Bicyclist,1
2528,2014,Brisbane,Fatality,75 and over,Female,Passenger,1
2536,2015,Brisbane,Fatality,75 and over,Male,Pedestrian,1
2560,2014,Brisbane,Hospitalised,75 and over,Female,Bicyclist,1
2563,2017,Brisbane,Fatality,75 and over,Female,Passenger,1
2585,2015,Brisbane,Hospitalised,60 to 74,Female,Motorcyclist,1
2610,2013,Brisbane,Hospitalised,0 to 16,Male,Driver,1
2614,2015,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,1
2651,2013,Brisbane,Fatality,60 to 74,Male,Pedestrian,1
2653,2013,Brisbane,Fatality,25 to 29,Male,Motorcyclist,1
2661,2013,Brisbane,Medically treated,25 to 29,Unknown,Driver,1
2663,2018,Brisbane,Minor injury,0 to 16,Female,Pedestrian,1
2664,2015,Brisbane,Hospitalised,Unknown,Male,Motorcyclist,1
2733,2014,Brisbane,Fatality,50 to 59,Male,Pedestrian,1
3220,2013,Brisbane,Hospitalised,17 to 24,Male,Driver,102
3222,2013,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,54
3227,2013,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,9
3246,2016,Brisbane,Medically treated,60 to 74,Female,Driver,69
3251,2016,Brisbane,Hospitalised,25 to 29,Female,Driver,44
3265,2016,Brisbane,Minor injury,40 to 49,Male,Bicyclist,5
3267,2016,Brisbane,Medically treated,25 to 29,Female,Bicyclist,3
3271,2014,Brisbane,Medically treated,75 and over,Female,Driver,21
3272,2014,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,4
3275,2015,Brisbane,Hospitalised,30 to 39,Female,Passenger,14
3287,2014,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,42
3289,2015,Brisbane,Medically treated,50 to 59,Female,Driver,150
3292,2016,Brisbane,Hospitalised,60 to 74,Female,Driver,47
3294,2015,Brisbane,Hospitalised,30 to 39,Male,Driver,73
3296,2013,Brisbane,Medically treated,17 to 24,Female,Passenger,59
3298,2015,Brisbane,Medically treated,25 to 29,Female,Driver,116
3301,2013,Brisbane,Medically treated,50 to 59,Male,Driver,89
3304,2014,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,4
3309,2013,Brisbane,Minor injury,30 to 39,Female,Other,1
3311,2013,Brisbane,Minor injury,50 to 59,Female,Driver,33
3314,2014,Brisbane,Medically treated,0 to 16,Male,Passenger,50
3315,2014,Brisbane,Minor injury,40 to 49,Female,Driver,56
3320,2014,Brisbane,Minor injury,0 to 16,Female,Driver,1
3324,2014,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,8
3329,2015,Brisbane,Hospitalised,50 to 59,Female,Passenger,14
3330,2014,Brisbane,Medically treated,60 to 74,Male,Driver,56
3339,2015,Brisbane,Hospitalised,60 to 74,Female,Passenger,21
3343,2014,Brisbane,Hospitalised,17 to 24,Male,Passenger,28
3344,2015,Brisbane,Hospitalised,40 to 49,Male,Driver,79
3346,2013,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,6
3352,2014,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,53
3355,2018,Brisbane,Hospitalised,0 to 16,Male,Pedestrian,10
3357,2018,Brisbane,Minor injury,50 to 59,Male,Driver,62
3358,2018,Brisbane,Hospitalised,17 to 24,Female,Driver,92
3359,2018,Brisbane,Medically treated,30 to 39,Female,Driver,204
3361,2017,Brisbane,Hospitalised,40 to 49,Female,Driver,59
3363,2018,Brisbane,Hospitalised,30 to 39,Male,Driver,80
3364,2015,Brisbane,Medically treated,30 to 39,Female,Passenger,43
3365,2017,Brisbane,Medically treated,17 to 24,Female,Pedestrian,10
3367,2018,Brisbane,Medically treated,25 to 29,Male,Pedestrian,5
3370,2018,Brisbane,Hospitalised,25 to 29,Female,Driver,52
3372,2017,Brisbane,Medically treated,50 to 59,Female,Driver,110
3373,2017,Brisbane,Medically treated,17 to 24,Male,Driver,134
3376,2017,Brisbane,Minor injury,40 to 49,Male,Driver,61
3380,2015,Brisbane,Minor injury,50 to 59,Female,Driver,32
3386,2017,Brisbane,Medically treated,40 to 49,Male,Driver,173
3388,2017,Brisbane,Medically treated,50 to 59,Male,Bicyclist,14
3389,2017,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,34
3392,2017,Brisbane,Hospitalised,30 to 39,Male,Driver,71
3401,2017,Brisbane,Medically treated,30 to 39,Female,Pedestrian,8
3406,2017,Brisbane,Medically treated,60 to 74,Female,Driver,85
3411,2017,Brisbane,Minor injury,40 to 49,Female,Passenger,14
3419,2016,Brisbane,Minor injury,30 to 39,Female,Passenger,12
3421,2016,Brisbane,Medically treated,17 to 24,Male,Passenger,38
3430,2018,Brisbane,Hospitalised,50 to 59,Female,Passenger,13
3431,2018,Brisbane,Hospitalised,Unknown,Female,Passenger,1
3435,2018,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
3438,2018,Brisbane,Medically treated,60 to 74,Male,Driver,61
3441,2018,Brisbane,Minor injury,40 to 49,Male,Pedestrian,2
3445,2018,Brisbane,Hospitalised,17 to 24,Male,Passenger,27
3451,2018,Brisbane,Minor injury,50 to 59,Male,Bicyclist,5
3452,2016,Brisbane,Hospitalised,30 to 39,Female,Driver,97
3453,2018,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,57
3671,2014,Brisbane,Fatality,60 to 74,Female,Driver,2
3683,2013,Brisbane,Hospitalised,0 to 16,Male,Passenger,28
3697,2015,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,22
3700,2013,Brisbane,Medically treated,40 to 49,Male,Bicyclist,23
3701,2014,Brisbane,Hospitalised,25 to 29,Male,Driver,40
3703,2014,Brisbane,Minor injury,60 to 74,Female,Driver,21
3705,2015,Brisbane,Medically treated,60 to 74,Female,Driver,78
3711,2015,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,6
3717,2015,Brisbane,Medically treated,50 to 59,Female,Passenger,33
3724,2014,Brisbane,Minor injury,25 to 29,Female,Driver,38
3725,2015,Brisbane,Hospitalised,75 and over,Male,Passenger,4
3728,2015,Brisbane,Medically treated,0 to 16,Female,Driver,2
3732,2017,Brisbane,Hospitalised,75 and over,Female,Driver,23
3739,2017,Brisbane,Medically treated,60 to 74,Male,Bicyclist,7
3740,2017,Brisbane,Medically treated,60 to 74,Female,Pedestrian,6
3743,2017,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,5
3755,2016,Brisbane,Minor injury,0 to 16,Male,Bicyclist,1
3756,2017,Brisbane,Hospitalised,40 to 49,Female,Passenger,15
3757,2017,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,25
3758,2013,Brisbane,Medically treated,30 to 39,Female,Bicyclist,8
3760,2017,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,39
3772,2016,Brisbane,Medically treated,30 to 39,Unknown,Passenger,1
3780,2018,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,10
3781,2017,Brisbane,Minor injury,0 to 16,Male,Bicyclist,7
3786,2016,Brisbane,Medically treated,50 to 59,Male,Passenger,12
3788,2018,Brisbane,Hospitalised,75 and over,Female,Driver,22
3953,2013,Brisbane,Minor injury,30 to 39,Male,Pedestrian,2
3960,2014,Brisbane,Medically treated,17 to 24,Male,Bicyclist,15
3965,2016,Brisbane,Hospitalised,50 to 59,Male,Passenger,2
3967,2014,Brisbane,Minor injury,17 to 24,Male,Bicyclist,8
3972,2015,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,6
3973,2014,Brisbane,Medically treated,25 to 29,Female,Bicyclist,10
3982,2014,Brisbane,Hospitalised,25 to 29,Unknown,Driver,2
3992,2015,Brisbane,Minor injury,40 to 49,Male,Pedestrian,1
4005,2017,Brisbane,Hospitalised,0 to 16,Male,Pedestrian,13
4006,2018,Brisbane,Hospitalised,40 to 49,Male,Pedestrian,7
4015,2017,Brisbane,Minor injury,40 to 49,Female,Bicyclist,2
4021,2017,Brisbane,Hospitalised,60 to 74,Female,Pedestrian,14
4022,2016,Brisbane,Minor injury,25 to 29,Female,Passenger,4
4032,2017,Brisbane,Minor injury,40 to 49,Female,Pedestrian,2
4035,2018,Brisbane,Minor injury,40 to 49,Female,Passenger,19
4144,2013,Brisbane,Medically treated,50 to 59,Female,Bicyclist,3
4146,2016,Brisbane,Hospitalised,60 to 74,Male,Passenger,6
4148,2016,Brisbane,Medically treated,0 to 16,Male,Bicyclist,11
4150,2016,Brisbane,Medically treated,17 to 24,Female,Bicyclist,7
4155,2015,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,34
4158,2015,Brisbane,Minor injury,0 to 16,Male,Passenger,17
4161,2014,Brisbane,Medically treated,25 to 29,Male,Passenger,11
4165,2014,Brisbane,Minor injury,0 to 16,Male,Pedestrian,1
4174,2014,Brisbane,Minor injury,25 to 29,Female,Passenger,10
4179,2017,Brisbane,Medically treated,40 to 49,Male,Pedestrian,7
4181,2014,Brisbane,Medically treated,75 and over,Female,Pedestrian,4
4194,2018,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,1
4199,2018,Brisbane,Medically treated,17 to 24,Male,Pedestrian,3
4306,2013,Brisbane,Hospitalised,40 to 49,Female,Pedestrian,11
4311,2016,Brisbane,Medically treated,75 and over,Male,Driver,11
4312,2014,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,7
4313,2016,Brisbane,Hospitalised,60 to 74,Female,Motorcyclist,2
4314,2016,Brisbane,Medically treated,40 to 49,Male,Pedestrian,6
4319,2013,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,20
4320,2015,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,1
4324,2015,Brisbane,Fatality,17 to 24,Male,Motorcyclist,1
4325,2015,Brisbane,Fatality,40 to 49,Male,Driver,2
4343,2017,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,6
4352,2018,Brisbane,Fatality,60 to 74,Female,Pedestrian,2
4419,2013,Brisbane,Fatality,50 to 59,Male,Driver,2
4423,2016,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,6
4430,2015,Brisbane,Medically treated,Unknown,Female,Passenger,3
4435,2014,Brisbane,Minor injury,0 to 16,Female,Pedestrian,1
4443,2017,Brisbane,Hospitalised,25 to 29,Male,Passenger,9
4447,2017,Brisbane,Minor injury,40 to 49,Male,Passenger,9
4450,2017,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,9
4455,2018,Brisbane,Minor injury,60 to 74,Male,Motorcyclist,2
4513,2013,Brisbane,Medically treated,60 to 74,Male,Passenger,7
4517,2013,Brisbane,Fatality,0 to 16,Male,Passenger,2
4520,2014,Brisbane,Minor injury,0 to 16,Male,Bicyclist,1
4523,2016,Brisbane,Hospitalised,75 and over,Male,Pedestrian,4
4526,2015,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,7
4529,2015,Brisbane,Medically treated,50 to 59,Male,Pedestrian,6
4530,2018,Brisbane,Hospitalised,25 to 29,Unknown,Driver,1
4534,2017,Brisbane,Medically treated,25 to 29,Female,Bicyclist,4
4539,2018,Brisbane,Medically treated,50 to 59,Male,Passenger,10
4589,2013,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,3
4597,2014,Brisbane,Medically treated,50 to 59,Male,Passenger,8
4605,2013,Brisbane,Medically treated,0 to 16,Unknown,Passenger,1
4606,2015,Brisbane,Medically treated,0 to 16,Male,Pedestrian,7
4614,2018,Brisbane,Minor injury,50 to 59,Male,Pedestrian,4
4665,2014,Brisbane,Fatality,0 to 16,Male,Pedestrian,2
4679,2018,Brisbane,Fatality,17 to 24,Male,Driver,3
4681,2017,Brisbane,Minor injury,75 and over,Female,Passenger,6
4682,2016,Brisbane,Medically treated,30 to 39,Male,Pedestrian,6
4683,2015,Brisbane,Medically treated,0 to 16,Female,Bicyclist,1
4743,2018,Brisbane,Medically treated,50 to 59,Female,Motorcyclist,1
4753,2018,Brisbane,Hospitalised,75 and over,Male,Passenger,3
4807,2013,Brisbane,Medically treated,60 to 74,Female,Pedestrian,2
4871,2018,Brisbane,Medically treated,75 and over,Female,Passenger,6
4911,2013,Brisbane,Hospitalised,Unknown,Male,Passenger,1
4917,2015,Brisbane,Medically treated,40 to 49,Female,Pedestrian,3
4924,2017,Brisbane,Hospitalised,60 to 74,Female,Bicyclist,2
4925,2017,Brisbane,Medically treated,17 to 24,Female,Bicyclist,4
4973,2014,Brisbane,Minor injury,0 to 16,Male,Driver,2
5005,2013,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,3
5015,2017,Brisbane,Medically treated,0 to 16,Male,Motorcyclist,1
5016,2016,Brisbane,Minor injury,30 to 39,Female,Bicyclist,1
5017,2018,Brisbane,Fatality,60 to 74,Male,Passenger,1
5055,2014,Brisbane,Hospitalised,75 and over,Male,Passenger,2
5059,2018,Brisbane,Fatality,50 to 59,Female,Pedestrian,2
5129,2014,Brisbane,Minor injury,60 to 74,Male,Bicyclist,2
5133,2015,Brisbane,Minor injury,25 to 29,Female,Passenger,7
5144,2018,Brisbane,Medically treated,75 and over,Male,Pedestrian,1
5173,2013,Brisbane,Medically treated,0 to 16,Female,Motorcyclist,1
5176,2014,Brisbane,Minor injury,25 to 29,Unknown,Driver,1
5177,2016,Brisbane,Hospitalised,17 to 24,Unknown,Driver,1
5180,2015,Brisbane,Hospitalised,0 to 16,Male,Other,1
5185,2017,Brisbane,Minor injury,30 to 39,Male,Pedestrian,3
5186,2016,Brisbane,Minor injury,50 to 59,Male,Passenger,2
5220,2017,Brisbane,Fatality,60 to 74,Male,Pedestrian,1
5238,2017,Brisbane,Medically treated,Unknown,Male,Passenger,1
5241,2016,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,1
5243,2018,Brisbane,Minor injury,75 and over,Male,Pedestrian,1
5273,2016,Brisbane,Minor injury,50 to 59,Female,Pedestrian,1
5297,2013,Brisbane,Minor injury,40 to 49,Unknown,Driver,1
5302,2018,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,2
5326,2016,Brisbane,Fatality,17 to 24,Male,Pedestrian,1
5327,2018,Brisbane,Hospitalised,25 to 29,Female,Pedestrian,5
5328,2017,Brisbane,Medically treated,30 to 39,Unknown,Driver,1
5329,2017,Brisbane,Medically treated,40 to 49,Unknown,Passenger,1
5330,2017,Brisbane,Minor injury,30 to 39,Unknown,Driver,1
5397,2016,Brisbane,Fatality,17 to 24,Male,Passenger,1
5425,2014,Brisbane,Minor injury,17 to 24,Male,Pedestrian,1
5441,2013,Brisbane,Fatality,50 to 59,Male,Bicyclist,1
5448,2017,Brisbane,Minor injury,Unknown,Male,Driver,1
5482,2017,Brisbane,Minor injury,50 to 59,Male,Passenger,1
5483,2017,Brisbane,Fatality,25 to 29,Male,Driver,1
5527,2017,Brisbane,Fatality,40 to 49,Male,Bicyclist,1
5559,2016,Brisbane,Fatality,25 to 29,Male,Pedestrian,1
5560,2015,Brisbane,Medically treated,Unknown,Female,Motorcyclist,1
6048,2013,Brisbane,Hospitalised,75 and over,Male,Driver,23
6051,2013,Brisbane,Hospitalised,60 to 74,Female,Passenger,19
6052,2013,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,30
