,Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
99,2017,Brisbane,Hospitalisation,1,0,1,3,0,3,0,0,3
100,2017,Brisbane,Hospitalisation,1,1,0,11,0,11,0,0,11
101,2017,Brisbane,Medical treatment,0,0,0,1814,0,0,2098,172,2270
102,2017,Brisbane,Medical treatment,0,0,1,46,0,0,49,4,53
103,2017,Brisbane,Medical treatment,0,1,0,131,0,0,146,9,155
104,2017,Brisbane,Medical treatment,0,1,1,3,0,0,3,0,3
105,2017,Brisbane,Medical treatment,1,0,0,160,0,0,164,2,166
106,2017,Brisbane,Medical treatment,1,1,0,7,0,0,7,1,8
107,2017,Brisbane,Minor injury,0,0,0,542,0,0,0,641,641
108,2017,Brisbane,Minor injury,0,0,1,13,0,0,0,14,14
109,2017,Brisbane,Minor injury,0,1,0,40,0,0,0,42,42
110,2017,Brisbane,Minor injury,1,0,0,49,0,0,0,54,54
111,2017,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
112,2018,Brisbane,Fatal,0,0,0,21,22,17,7,0,46
113,2018,Brisbane,Fatal,0,0,1,1,1,0,0,0,1
114,2018,Brisbane,Fatal,0,1,0,1,1,0,0,0,1
115,2018,Brisbane,Fatal,1,0,0,5,5,3,0,0,8
116,2018,Brisbane,Fatal,1,1,0,1,1,0,0,0,1
117,2018,Brisbane,Hospitalisation,0,0,0,1015,0,1231,108,103,1442
118,2018,Brisbane,Hospitalisation,0,0,1,23,0,33,6,7,46
119,2018,Brisbane,Hospitalisation,0,1,0,84,0,98,6,7,111
120,2018,Brisbane,Hospitalisation,0,1,1,1,0,3,0,1,4
121,2018,Brisbane,Hospitalisation,1,0,0,295,0,308,7,7,322
122,2018,Brisbane,Hospitalisation,1,0,1,4,0,4,0,0,4
123,2018,Brisbane,Hospitalisation,1,1,0,11,0,11,0,1,12
124,2018,Brisbane,Medical treatment,0,0,0,1732,0,0,1998,189,2187
125,2018,Brisbane,Medical treatment,0,0,1,41,0,0,44,2,46
126,2018,Brisbane,Medical treatment,0,1,0,142,0,0,162,14,176
127,2018,Brisbane,Medical treatment,0,1,1,3,0,0,3,0,3
128,2018,Brisbane,Medical treatment,1,0,0,162,0,0,173,3,176
129,2018,Brisbane,Medical treatment,1,0,1,3,0,0,3,0,3
130,2018,Brisbane,Medical treatment,1,1,0,4,0,0,4,0,4
131,2018,Brisbane,Minor injury,0,0,0,554,0,0,0,643,643
132,2018,Brisbane,Minor injury,0,0,1,12,0,0,0,17,17
133,2018,Brisbane,Minor injury,0,1,0,47,0,0,0,50,50
134,2018,Brisbane,Minor injury,1,0,0,45,0,0,0,46,46
135,2018,Brisbane,Minor injury,1,1,0,1,0,0,0,1,1
