,Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
7678,2001,Brisbane,Minor injury,17 to 24,Female,Bicyclist,3
8357,2001,Brisbane,Minor injury,17 to 24,Male,Driver,181
8373,2001,Brisbane,Medically treated,17 to 24,Female,Passenger,99
8382,2001,Brisbane,Minor injury,17 to 24,Male,Pedestrian,4
9050,2001,Brisbane,Fatality,17 to 24,Male,Passenger,2
11204,2001,Brisbane,Hospitalised,17 to 24,Male,Driver,119
11219,2001,Brisbane,Hospitalised,17 to 24,Male,Passenger,55
11222,2001,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,45
12236,2001,Brisbane,Medically treated,17 to 24,Female,Pedestrian,15
12625,2001,Brisbane,Medically treated,17 to 24,Male,Pedestrian,17
13687,2001,Brisbane,Minor injury,17 to 24,Female,Motorcyclist,2
14051,2001,Brisbane,Medically treated,17 to 24,Female,Driver,252
14066,2001,Brisbane,Medically treated,17 to 24,Male,Passenger,69
14746,2001,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,25
14750,2001,Brisbane,Minor injury,17 to 24,Male,Bicyclist,9
16862,2001,Brisbane,Minor injury,17 to 24,Female,Passenger,82
16863,2001,Brisbane,Minor injury,17 to 24,Female,Driver,183
16893,2001,Brisbane,Medically treated,17 to 24,Female,Bicyclist,9
18094,2001,Brisbane,Minor injury,17 to 24,Female,Pedestrian,9
18393,2001,Brisbane,Fatality,17 to 24,Male,Motorcyclist,2
19572,2001,Brisbane,Minor injury,17 to 24,Male,Passenger,52
19583,2001,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,30
19585,2001,Brisbane,Hospitalised,17 to 24,Female,Driver,92
20303,2001,Brisbane,Medically treated,17 to 24,Male,Bicyclist,23
20636,2001,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,17
2755,2001,Brisbane,Minor injury,25 to 29,Female,Passenger,28
2768,2001,Brisbane,Medically treated,25 to 29,Male,Driver,110
2769,2001,Brisbane,Hospitalised,25 to 29,Female,Pedestrian,6
2772,2001,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,2
3463,2001,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,27
4758,2001,Brisbane,Minor injury,25 to 29,Male,Bicyclist,8
4759,2001,Brisbane,Medically treated,25 to 29,Female,Bicyclist,3
5356,2001,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,2
5595,2001,Brisbane,Minor injury,25 to 29,Male,Passenger,14
7785,2001,Brisbane,Minor injury,25 to 29,Female,Motorcyclist,1
7910,2001,Brisbane,Fatality,25 to 29,Male,Bicyclist,1
8239,2001,Brisbane,Fatality,25 to 29,Male,Motorcyclist,1
8347,2001,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,28
8354,2001,Brisbane,Hospitalised,25 to 29,Male,Driver,47
8356,2001,Brisbane,Hospitalised,25 to 29,Male,Passenger,10
9381,2001,Brisbane,Medically treated,25 to 29,Male,Bicyclist,14
10841,2001,Brisbane,Minor injury,25 to 29,Female,Bicyclist,1
11216,2001,Brisbane,Hospitalised,25 to 29,Female,Driver,49
11223,2001,Brisbane,Minor injury,25 to 29,Male,Driver,85
11909,2001,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,18
13161,2001,Brisbane,Medically treated,25 to 29,Female,Pedestrian,2
14050,2001,Brisbane,Medically treated,25 to 29,Female,Driver,132
14056,2001,Brisbane,Medically treated,25 to 29,Male,Passenger,21
14063,2001,Brisbane,Minor injury,25 to 29,Female,Driver,96
14757,2001,Brisbane,Hospitalised,25 to 29,Female,Passenger,16
16506,2001,Brisbane,Fatality,25 to 29,Female,Driver,1
16864,2001,Brisbane,Medically treated,25 to 29,Female,Passenger,43
18737,2001,Brisbane,Medically treated,25 to 29,Male,Pedestrian,7
20306,2001,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,8
20986,2001,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,12
21128,2001,Brisbane,Fatality,25 to 29,Male,Driver,4
21684,2001,Brisbane,Fatality,25 to 29,Male,Passenger,1
22072,2001,Brisbane,Minor injury,25 to 29,Female,Pedestrian,1
1743,2001,Brisbane,Minor injury,30 to 39,Male,Pedestrian,6
2746,2001,Brisbane,Hospitalised,30 to 39,Male,Driver,76
2748,2001,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,27
3459,2001,Brisbane,Hospitalised,30 to 39,Female,Passenger,20
5275,2001,Brisbane,Fatality,30 to 39,Female,Passenger,1
5567,2001,Brisbane,Minor injury,30 to 39,Male,Passenger,24
6641,2001,Brisbane,Medically treated,30 to 39,Female,Pedestrian,7
8351,2001,Brisbane,Minor injury,30 to 39,Female,Driver,127
10135,2001,Brisbane,Minor injury,30 to 39,Female,Pedestrian,8
10669,2001,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,2
10955,2001,Brisbane,Minor injury,30 to 39,Female,Bicyclist,2
11205,2001,Brisbane,Hospitalised,30 to 39,Male,Passenger,11
11239,2001,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,41
13157,2001,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,6
13780,2001,Brisbane,Fatality,30 to 39,Female,Driver,1
13956,2001,Brisbane,Fatality,30 to 39,Male,Motorcyclist,1
14072,2001,Brisbane,Medically treated,30 to 39,Female,Driver,212
14074,2001,Brisbane,Medically treated,30 to 39,Male,Pedestrian,8
14076,2001,Brisbane,Medically treated,30 to 39,Male,Bicyclist,28
14080,2001,Brisbane,Medically treated,30 to 39,Male,Passenger,31
14749,2001,Brisbane,Minor injury,30 to 39,Male,Bicyclist,10
14758,2001,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,9
15088,2001,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,20
16375,2001,Brisbane,Medically treated,30 to 39,Female,Bicyclist,5
16555,2001,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,5
16869,2001,Brisbane,Medically treated,30 to 39,Female,Passenger,70
16881,2001,Brisbane,Medically treated,30 to 39,Male,Driver,160
16895,2001,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,52
16906,2001,Brisbane,Minor injury,30 to 39,Female,Passenger,38
19566,2001,Brisbane,Hospitalised,30 to 39,Female,Driver,56
19571,2001,Brisbane,Minor injury,30 to 39,Male,Driver,152
20824,2001,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,1
20825,2001,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,10
21121,2001,Brisbane,Fatality,30 to 39,Male,Driver,4
21124,2001,Brisbane,Fatality,30 to 39,Male,Pedestrian,2
7,2001,Brisbane,Hospitalised,40 to 49,Male,Motorcyclist,27
12,2001,Brisbane,Minor injury,40 to 49,Male,Motorcyclist,18
1025,2001,Brisbane,Medically treated,40 to 49,Male,Motorcyclist,28
2073,2001,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,7
2757,2001,Brisbane,Medically treated,40 to 49,Male,Driver,123
3794,2001,Brisbane,Hospitalised,40 to 49,Male,Bicyclist,9
3802,2001,Brisbane,Hospitalised,40 to 49,Female,Passenger,22
4687,2001,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,1
6310,2001,Brisbane,Medically treated,40 to 49,Female,Motorcyclist,5
6640,2001,Brisbane,Hospitalised,40 to 49,Male,Pedestrian,5
6841,2001,Brisbane,Medically treated,40 to 49,Male,Passenger,18
6845,2001,Brisbane,Hospitalised,40 to 49,Female,Pedestrian,5
8353,2001,Brisbane,Hospitalised,40 to 49,Male,Driver,59
9037,2001,Brisbane,Medically treated,40 to 49,Female,Passenger,47
9383,2001,Brisbane,Medically treated,40 to 49,Female,Pedestrian,5
10929,2001,Brisbane,Medically treated,40 to 49,Female,Bicyclist,3
10986,2001,Brisbane,Hospitalised,40 to 49,Female,Bicyclist,2
13087,2001,Brisbane,Medically treated,40 to 49,Male,Bicyclist,9
13439,2001,Brisbane,Fatality,40 to 49,Female,Driver,1
13485,2001,Brisbane,Minor injury,40 to 49,Male,Pedestrian,4
14052,2001,Brisbane,Medically treated,40 to 49,Female,Driver,147
14054,2001,Brisbane,Minor injury,40 to 49,Female,Driver,122
14065,2001,Brisbane,Minor injury,40 to 49,Female,Passenger,26
15875,2001,Brisbane,Minor injury,40 to 49,Male,Passenger,9
15942,2001,Brisbane,Hospitalised,40 to 49,Male,Passenger,5
16474,2001,Brisbane,Fatality,40 to 49,Male,Driver,1
16683,2001,Brisbane,Fatality,40 to 49,Male,Bicyclist,1
16876,2001,Brisbane,Hospitalised,40 to 49,Female,Driver,53
18662,2001,Brisbane,Minor injury,40 to 49,Male,Bicyclist,8
20297,2001,Brisbane,Minor injury,40 to 49,Male,Driver,104
21512,2001,Brisbane,Medically treated,40 to 49,Male,Pedestrian,5
22044,2001,Brisbane,Fatality,40 to 49,Male,Motorcyclist,1
25,2001,Brisbane,Medically treated,50 to 59,Male,Motorcyclist,10
1547,2001,Brisbane,Medically treated,50 to 59,Female,Pedestrian,6
2762,2001,Brisbane,Hospitalised,50 to 59,Male,Pedestrian,8
4358,2001,Brisbane,Minor injury,50 to 59,Male,Pedestrian,1
5582,2001,Brisbane,Minor injury,50 to 59,Female,Driver,77
5584,2001,Brisbane,Medically treated,50 to 59,Female,Passenger,54
6296,2001,Brisbane,Hospitalised,50 to 59,Male,Driver,33
6628,2001,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,8
7911,2001,Brisbane,Medically treated,50 to 59,Male,Bicyclist,3
8369,2001,Brisbane,Medically treated,50 to 59,Female,Driver,90
9038,2001,Brisbane,Hospitalised,50 to 59,Male,Passenger,7
9040,2001,Brisbane,Minor injury,50 to 59,Female,Passenger,23
9392,2001,Brisbane,Minor injury,50 to 59,Male,Bicyclist,5
9610,2001,Brisbane,Minor injury,50 to 59,Female,Pedestrian,6
10048,2001,Brisbane,Minor injury,50 to 59,Male,Motorcyclist,4
11917,2001,Brisbane,Hospitalised,50 to 59,Female,Passenger,14
13353,2001,Brisbane,Fatality,50 to 59,Male,Pedestrian,1
14060,2001,Brisbane,Minor injury,50 to 59,Male,Driver,83
15081,2001,Brisbane,Hospitalised,50 to 59,Female,Pedestrian,6
15457,2001,Brisbane,Hospitalised,50 to 59,Female,Motorcyclist,3
16855,2001,Brisbane,Medically treated,50 to 59,Male,Passenger,10
16880,2001,Brisbane,Medically treated,50 to 59,Male,Driver,92
17581,2001,Brisbane,Hospitalised,50 to 59,Female,Driver,36
18246,2001,Brisbane,Hospitalised,50 to 59,Male,Bicyclist,4
18388,2001,Brisbane,Medically treated,50 to 59,Male,Pedestrian,11
18394,2001,Brisbane,Medically treated,50 to 59,Female,Bicyclist,1
19596,2001,Brisbane,Minor injury,50 to 59,Male,Passenger,11
21365,2001,Brisbane,Medically treated,50 to 59,Female,Motorcyclist,1
21832,2001,Brisbane,Fatality,50 to 59,Female,Driver,2
22202,2001,Brisbane,Fatality,50 to 59,Male,Passenger,1
708,2001,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,2
1027,2001,Brisbane,Hospitalised,60 to 74,Male,Driver,29
1036,2001,Brisbane,Medically treated,60 to 74,Female,Pedestrian,4
1040,2001,Brisbane,Medically treated,60 to 74,Female,Passenger,29
2782,2001,Brisbane,Hospitalised,60 to 74,Male,Pedestrian,12
3466,2001,Brisbane,Minor injury,60 to 74,Female,Driver,20
3796,2001,Brisbane,Medically treated,60 to 74,Male,Passenger,10
4688,2001,Brisbane,Fatality,60 to 74,Male,Motorcyclist,1
5579,2001,Brisbane,Hospitalised,60 to 74,Female,Driver,20
6314,2001,Brisbane,Minor injury,60 to 74,Male,Passenger,7
6638,2001,Brisbane,Hospitalised,60 to 74,Female,Passenger,18
7432,2001,Brisbane,Fatality,60 to 74,Female,Driver,3
7436,2001,Brisbane,Medically treated,60 to 74,Female,Bicyclist,1
7561,2001,Brisbane,Medically treated,60 to 74,Male,Bicyclist,1
8358,2001,Brisbane,Minor injury,60 to 74,Male,Driver,42
9039,2001,Brisbane,Minor injury,60 to 74,Female,Passenger,15
9789,2001,Brisbane,Medically treated,60 to 74,Male,Pedestrian,5
10621,2001,Brisbane,Fatality,60 to 74,Male,Pedestrian,1
11202,2001,Brisbane,Medically treated,60 to 74,Female,Driver,45
11248,2001,Brisbane,Medically treated,60 to 74,Male,Driver,57
14747,2001,Brisbane,Hospitalised,60 to 74,Female,Pedestrian,7
15092,2001,Brisbane,Hospitalised,60 to 74,Male,Passenger,4
15095,2001,Brisbane,Hospitalised,60 to 74,Male,Motorcyclist,1
17893,2001,Brisbane,Minor injury,60 to 74,Male,Motorcyclist,1
18801,2001,Brisbane,Minor injury,60 to 74,Male,Pedestrian,2
19258,2001,Brisbane,Fatality,60 to 74,Male,Driver,1
22158,2001,Brisbane,Minor injury,60 to 74,Female,Pedestrian,2
1029,2001,Brisbane,Minor injury,75 and over,Male,Driver,9
1404,2001,Brisbane,Medically treated,75 and over,Male,Passenger,3
2201,2001,Brisbane,Minor injury,75 and over,Male,Pedestrian,1
2753,2001,Brisbane,Medically treated,75 and over,Female,Driver,14
5069,2001,Brisbane,Fatality,75 and over,Male,Pedestrian,1
5583,2001,Brisbane,Hospitalised,75 and over,Male,Driver,15
5594,2001,Brisbane,Medically treated,75 and over,Female,Passenger,19
6633,2001,Brisbane,Hospitalised,75 and over,Female,Pedestrian,13
8214,2001,Brisbane,Fatality,75 and over,Male,Driver,1
9389,2001,Brisbane,Minor injury,75 and over,Female,Passenger,6
9609,2001,Brisbane,Medically treated,75 and over,Male,Driver,18
13397,2001,Brisbane,Fatality,75 and over,Female,Pedestrian,1
15082,2001,Brisbane,Hospitalised,75 and over,Female,Driver,16
15941,2001,Brisbane,Medically treated,75 and over,Male,Pedestrian,4
18386,2001,Brisbane,Minor injury,75 and over,Female,Driver,6
18660,2001,Brisbane,Medically treated,75 and over,Female,Pedestrian,5
19008,2001,Brisbane,Fatality,75 and over,Female,Driver,2
19047,2001,Brisbane,Hospitalised,75 and over,Male,Passenger,1
20631,2001,Brisbane,Hospitalised,75 and over,Male,Pedestrian,4
20984,2001,Brisbane,Hospitalised,75 and over,Female,Passenger,11
21683,2001,Brisbane,Minor injury,75 and over,Female,Pedestrian,1
2635,2001,Brisbane,Hospitalised,Unknown,Male,Passenger,1
2691,2001,Brisbane,Minor injury,Unknown,Unknown,Motorcyclist,1
4048,2001,Brisbane,Minor injury,Unknown,Female,Passenger,6
4819,2001,Brisbane,Minor injury,Unknown,Male,Bicyclist,4
4933,2001,Brisbane,Minor injury,Unknown,Unknown,Passenger,3
5462,2001,Brisbane,Medically treated,Unknown,Male,Pedestrian,2
5485,2001,Brisbane,Medically treated,Unknown,Unknown,Driver,1
5529,2001,Brisbane,Medically treated,Unknown,Female,Pedestrian,1
6311,2001,Brisbane,Medically treated,Unknown,Female,Driver,1
7677,2001,Brisbane,Minor injury,Unknown,Female,Driver,1
8377,2001,Brisbane,Minor injury,Unknown,Male,Passenger,5
11090,2001,Brisbane,Minor injury,Unknown,Male,Pedestrian,3
11093,2001,Brisbane,Minor injury,Unknown,Male,Motorcyclist,1
13651,2001,Brisbane,Medically treated,Unknown,Male,Bicyclist,1
13653,2001,Brisbane,Medically treated,Unknown,Unknown,Passenger,5
13952,2001,Brisbane,Minor injury,Unknown,Male,Driver,1
14057,2001,Brisbane,Medically treated,Unknown,Male,Passenger,7
16247,2001,Brisbane,Hospitalised,Unknown,Female,Driver,1
16819,2001,Brisbane,Medically treated,Unknown,Female,Motorcyclist,1
19096,2001,Brisbane,Medically treated,Unknown,Female,Passenger,6
19505,2001,Brisbane,Hospitalised,Unknown,Unknown,Passenger,1
21952,2001,Brisbane,Hospitalised,Unknown,Male,Motorcyclist,1
22294,2001,Brisbane,Minor injury,Unknown,Unknown,Pedestrian,2
68,2002,Brisbane,Minor injury,0 to 16,Male,Passenger,48
722,2002,Brisbane,Minor injury,0 to 16,Female,Driver,2
2807,2002,Brisbane,Hospitalised,0 to 16,Male,Bicyclist,12
4461,2002,Brisbane,Hospitalised,0 to 16,Male,Motorcyclist,1
5072,2002,Brisbane,Minor injury,0 to 16,Female,Pedestrian,4
5609,2002,Brisbane,Medically treated,0 to 16,Male,Pedestrian,11
5630,2002,Brisbane,Minor injury,0 to 16,Male,Driver,4
6324,2002,Brisbane,Hospitalised,0 to 16,Male,Pedestrian,28
8240,2002,Brisbane,Minor injury,0 to 16,Female,Bicyclist,1
8397,2002,Brisbane,Hospitalised,0 to 16,Male,Passenger,29
8425,2002,Brisbane,Minor injury,0 to 16,Female,Passenger,41
10560,2002,Brisbane,Medically treated,0 to 16,Female,Driver,3
10783,2002,Brisbane,Fatality,0 to 16,Female,Passenger,1
11256,2002,Brisbane,Hospitalised,0 to 16,Female,Pedestrian,8
11259,2002,Brisbane,Hospitalised,0 to 16,Female,Passenger,38
11269,2002,Brisbane,Medically treated,0 to 16,Male,Passenger,44
12481,2002,Brisbane,Fatality,0 to 16,Male,Pedestrian,3
12774,2002,Brisbane,Minor injury,0 to 16,Male,Pedestrian,4
14102,2002,Brisbane,Medically treated,0 to 16,Female,Pedestrian,18
14764,2002,Brisbane,Medically treated,0 to 16,Male,Driver,3
15109,2002,Brisbane,Medically treated,0 to 16,Female,Passenger,73
16149,2002,Brisbane,Minor injury,0 to 16,Male,Bicyclist,7
16529,2002,Brisbane,Hospitalised,0 to 16,Female,Driver,2
18743,2002,Brisbane,Hospitalised,0 to 16,Female,Bicyclist,1
19056,2002,Brisbane,Fatality,0 to 16,Unknown,Passenger,1
19625,2002,Brisbane,Medically treated,0 to 16,Male,Bicyclist,19
21269,2002,Brisbane,Hospitalised,0 to 16,Male,Driver,5
45,2002,Brisbane,Minor injury,17 to 24,Female,Motorcyclist,2
51,2002,Brisbane,Medically treated,17 to 24,Male,Motorcyclist,36
52,2002,Brisbane,Hospitalised,17 to 24,Male,Pedestrian,16
69,2002,Brisbane,Hospitalised,17 to 24,Male,Motorcyclist,45
1256,2002,Brisbane,Fatality,17 to 24,Male,Driver,7
1900,2002,Brisbane,Medically treated,17 to 24,Female,Bicyclist,5
2793,2002,Brisbane,Minor injury,17 to 24,Female,Driver,147
2797,2002,Brisbane,Minor injury,17 to 24,Male,Driver,165
2809,2002,Brisbane,Medically treated,17 to 24,Male,Passenger,52
3807,2002,Brisbane,Fatality,17 to 24,Female,Pedestrian,1
4765,2002,Brisbane,Fatality,17 to 24,Female,Driver,1
5611,2002,Brisbane,Minor injury,17 to 24,Male,Passenger,59
5619,2002,Brisbane,Minor injury,17 to 24,Male,Motorcyclist,21
6320,2002,Brisbane,Medically treated,17 to 24,Male,Pedestrian,11
8394,2002,Brisbane,Hospitalised,17 to 24,Female,Bicyclist,4
8408,2002,Brisbane,Hospitalised,17 to 24,Male,Driver,113
9054,2002,Brisbane,Medically treated,17 to 24,Female,Pedestrian,12
9925,2002,Brisbane,Minor injury,17 to 24,Female,Pedestrian,5
10562,2002,Brisbane,Minor injury,17 to 24,Female,Bicyclist,2
10749,2002,Brisbane,Medically treated,17 to 24,Female,Motorcyclist,2
11244,2002,Brisbane,Medically treated,17 to 24,Female,Driver,253
11267,2002,Brisbane,Minor injury,17 to 24,Female,Passenger,49
11936,2002,Brisbane,Hospitalised,17 to 24,Female,Motorcyclist,7
12478,2002,Brisbane,Hospitalised,17 to 24,Male,Bicyclist,17
12888,2002,Brisbane,Minor injury,17 to 24,Male,Pedestrian,7
13909,2002,Brisbane,Fatality,17 to 24,Male,Passenger,1
14108,2002,Brisbane,Hospitalised,17 to 24,Male,Passenger,42
16089,2002,Brisbane,Fatality,17 to 24,Male,Motorcyclist,2
16904,2002,Brisbane,Hospitalised,17 to 24,Female,Driver,91
16912,2002,Brisbane,Medically treated,17 to 24,Male,Bicyclist,18
16913,2002,Brisbane,Hospitalised,17 to 24,Female,Passenger,63
18098,2002,Brisbane,Fatality,17 to 24,Female,Passenger,3
19133,2002,Brisbane,Medically treated,17 to 24,Female,Other,1
19600,2002,Brisbane,Medically treated,17 to 24,Male,Driver,189
19601,2002,Brisbane,Medically treated,17 to 24,Female,Passenger,106
20323,2002,Brisbane,Minor injury,17 to 24,Male,Bicyclist,13
20991,2002,Brisbane,Hospitalised,17 to 24,Female,Pedestrian,15
1043,2002,Brisbane,Hospitalised,25 to 29,Female,Passenger,14
1747,2002,Brisbane,Hospitalised,25 to 29,Male,Passenger,4
1748,2002,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,5
1823,2002,Brisbane,Minor injury,25 to 29,Female,Pedestrian,2
2117,2002,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,9
2801,2002,Brisbane,Medically treated,25 to 29,Male,Passenger,24
2805,2002,Brisbane,Medically treated,25 to 29,Female,Driver,143
2808,2002,Brisbane,Medically treated,25 to 29,Male,Driver,95
4057,2002,Brisbane,Medically treated,25 to 29,Male,Pedestrian,6
5612,2002,Brisbane,Medically treated,25 to 29,Female,Passenger,25
5625,2002,Brisbane,Minor injury,25 to 29,Female,Driver,82
6328,2002,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,5
6333,2002,Brisbane,Medically treated,25 to 29,Male,Motorcyclist,23
6336,2002,Brisbane,Minor injury,25 to 29,Male,Bicyclist,11
6649,2002,Brisbane,Minor injury,25 to 29,Male,Motorcyclist,13
7240,2002,Brisbane,Fatality,25 to 29,Male,Motorcyclist,3
8415,2002,Brisbane,Minor injury,25 to 29,Female,Bicyclist,3
8420,2002,Brisbane,Hospitalised,25 to 29,Male,Driver,45
10821,2002,Brisbane,Medically treated,25 to 29,Female,Bicyclist,5
11279,2002,Brisbane,Minor injury,25 to 29,Male,Driver,82
12257,2002,Brisbane,Hospitalised,25 to 29,Female,Driver,38
13576,2002,Brisbane,Fatality,25 to 29,Male,Driver,4
14105,2002,Brisbane,Minor injury,25 to 29,Male,Passenger,10
14774,2002,Brisbane,Hospitalised,25 to 29,Male,Motorcyclist,39
14777,2002,Brisbane,Minor injury,25 to 29,Male,Pedestrian,7
15467,2002,Brisbane,Hospitalised,25 to 29,Female,Pedestrian,4
15713,2002,Brisbane,Minor injury,25 to 29,Female,Motorcyclist,3
18494,2002,Brisbane,Medically treated,25 to 29,Female,Pedestrian,6
20645,2002,Brisbane,Minor injury,25 to 29,Female,Passenger,30
20836,2002,Brisbane,Medically treated,25 to 29,Male,Bicyclist,12
20843,2002,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,3
54,2002,Brisbane,Hospitalised,30 to 39,Male,Bicyclist,22
56,2002,Brisbane,Medically treated,30 to 39,Female,Pedestrian,4
1551,2002,Brisbane,Hospitalised,30 to 39,Female,Bicyclist,3
2790,2002,Brisbane,Medically treated,30 to 39,Male,Driver,150
2815,2002,Brisbane,Minor injury,30 to 39,Female,Passenger,39
3478,2002,Brisbane,Medically treated,30 to 39,Female,Passenger,63
3488,2002,Brisbane,Hospitalised,30 to 39,Male,Pedestrian,12
5605,2002,Brisbane,Hospitalised,30 to 39,Female,Driver,79
6331,2002,Brisbane,Medically treated,30 to 39,Male,Passenger,27
6658,2002,Brisbane,Minor injury,30 to 39,Male,Bicyclist,11
6848,2002,Brisbane,Hospitalised,30 to 39,Female,Passenger,22
7148,2002,Brisbane,Fatality,30 to 39,Male,Motorcyclist,3
7914,2002,Brisbane,Hospitalised,30 to 39,Female,Motorcyclist,3
8132,2002,Brisbane,Fatality,30 to 39,Male,Passenger,1
10053,2002,Brisbane,Medically treated,30 to 39,Female,Motorcyclist,4
11246,2002,Brisbane,Minor injury,30 to 39,Female,Driver,137
11260,2002,Brisbane,Minor injury,30 to 39,Male,Driver,135
11263,2002,Brisbane,Medically treated,30 to 39,Female,Driver,227
12251,2002,Brisbane,Minor injury,30 to 39,Male,Passenger,10
12485,2002,Brisbane,Fatality,30 to 39,Male,Bicyclist,1
13287,2002,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,3
13958,2002,Brisbane,Fatality,30 to 39,Male,Driver,1
14103,2002,Brisbane,Hospitalised,30 to 39,Male,Passenger,19
14769,2002,Brisbane,Medically treated,30 to 39,Female,Bicyclist,4
14770,2002,Brisbane,Medically treated,30 to 39,Male,Bicyclist,22
16684,2002,Brisbane,Fatality,30 to 39,Female,Passenger,1
16900,2002,Brisbane,Hospitalised,30 to 39,Male,Motorcyclist,42
18664,2002,Brisbane,Minor injury,30 to 39,Female,Pedestrian,3
19630,2002,Brisbane,Medically treated,30 to 39,Male,Motorcyclist,46
19635,2002,Brisbane,Hospitalised,30 to 39,Male,Driver,65
19636,2002,Brisbane,Minor injury,30 to 39,Male,Motorcyclist,24
19637,2002,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,7
20313,2002,Brisbane,Medically treated,30 to 39,Male,Pedestrian,17
21129,2002,Brisbane,Minor injury,30 to 39,Male,Pedestrian,9
21590,2002,Brisbane,Minor injury,30 to 39,Female,Bicyclist,3
